name,displacement,cylinders,horsepower,weight,year,fuel_consumption
volkswagen type 3,1.59,4,54.0,1022.4,72,10.23
chevrolet vega,2.29,4,90.0,1092.25,72,11.76
ford pinto runabout,2.0,4,86.0,1009.7,72,11.2
chevrolet impala,5.74,8,165.0,1938.65,72,18.09
pontiac catalina,6.55,8,175.0,1989.0,72,16.8
plymouth fury iii,5.21,8,150.0,1875.6,72,15.68
ford galaxie 500,5.75,8,153.0,1872.88,72,16.8
amc ambassador sst,4.98,8,150.0,1665.59,72,13.84
mercury marquis,7.03,8,208.0,2101.49,72,21.38
buick lesabre custom,5.74,8,155.0,2042.07,72,18.09
oldsmobile delta 88 royale,5.74,8,160.0,2021.21,72,19.6
chrysler newport royal,6.55,8,190.0,2005.78,72,18.09
mazda rx2 coupe,1.15,3,97.0,1056.87,72,12.38
amc matador (sw),4.98,8,150.0,1765.38,72,15.68
chevrolet chevelle concours (sw),5.03,8,130.0,1858.82,72,18.09
ford gran torino (sw),4.95,8,140.0,1947.72,72,18.09
plymouth satellite custom (sw),5.21,8,150.0,1849.29,72,16.8
volvo 145e (sw),1.98,4,112.0,1330.39,72,13.07
volkswagen 411 (sw),1.98,4,76.0,1138.97,72,10.69
peugeot 504 (sw),1.97,4,87.0,1351.25,72,11.2
renault 12 (sw),1.57,4,69.0,992.91,72,9.05
ford pinto (sw),2.0,4,86.0,1086.35,72,10.69
datsun 510 (sw),1.59,4,92.0,1037.82,72,8.4
toyouta corona mark ii (sw),1.97,4,97.0,1136.7,72,10.23
dodge colt (sw),1.61,4,80.0,981.57,72,8.4
toyota corolla 1600 (sw),1.59,4,88.0,952.54,72,8.71
buick century 350,5.74,8,175.0,1859.73,73,18.09
amc matador,4.98,8,150.0,1665.59,73,16.8
chevrolet malibu,5.74,8,145.0,1808.92,73,18.09
ford gran torino,4.95,8,137.0,1833.42,73,16.8
dodge coronet custom,5.21,8,150.0,1713.22,73,15.68
mercury marquis brougham,7.03,8,198.0,2246.19,73,19.6
chevrolet caprice classic,6.55,8,150.0,2024.83,73,18.09
ford ltd,5.75,8,158.0,1979.02,73,18.09
plymouth fury gran sedan,5.21,8,150.0,1921.87,73,16.8
chrysler new yorker brougham,7.21,8,215.0,2147.76,73,18.09
buick electra 225 custom,7.46,8,225.0,2245.73,73,19.6
amc ambassador brougham,5.9,8,175.0,1733.18,73,18.09
plymouth valiant,3.69,6,105.0,1415.66,73,13.07
chevrolet nova custom,4.1,6,100.0,1486.87,73,14.7
amc hornet,3.8,6,100.0,1335.83,73,13.07
ford maverick,4.1,6,88.0,1370.3,73,13.07
plymouth duster,3.24,6,95.0,1317.23,73,10.23
volkswagen super beetle,1.59,4,46.0,884.5,73,9.05
chevrolet impala,6.55,8,150.0,2266.6,73,21.38
ford country,6.55,8,167.0,2225.32,73,19.6
plymouth custom suburb,5.9,8,170.0,2111.02,73,18.09
oldsmobile vista cruiser,5.74,8,180.0,2040.71,73,19.6
amc gremlin,3.8,6,100.0,1265.07,73,13.07
toyota carina,1.59,4,88.0,1033.74,73,11.76
chevrolet vega,2.29,4,72.0,1089.07,73,11.2
datsun 610,1.77,4,94.0,1079.1,73,10.69
maxda rx3,1.15,3,90.0,963.43,73,13.07
ford pinto,2.0,4,85.0,1047.8,73,12.38
mercury capri v6,2.54,6,107.0,1121.28,73,11.2
fiat 124 sport coupe,1.61,4,90.0,1027.39,73,9.05
chevrolet monte carlo s,5.74,8,145.0,1851.56,73,15.68
pontiac grand prix,6.55,8,230.0,1940.47,73,14.7
fiat 128,1.11,4,49.0,846.86,73,8.11
opel manta,1.9,4,75.0,978.85,73,9.8
audi 100ls,1.87,4,91.0,1171.17,73,11.76
volvo 144ea,1.98,4,112.0,1300.9,73,12.38
dodge dart custom,5.21,8,150.0,1541.76,73,15.68
saab 99le,1.98,4,110.0,1206.55,73,9.8
toyota mark ii,2.56,6,122.0,1273.23,73,11.76
oldsmobile omega,5.74,8,180.0,1661.96,73,21.38
plymouth duster,3.24,6,95.0,1407.04,74,11.76
amc hornet,3.8,6,100.0,1315.87,74,12.38
chevrolet nova,4.1,6,100.0,1513.18,74,15.68
datsun b210,1.29,4,67.0,884.5,74,7.59
ford pinto,2.0,4,80.0,1111.75,74,9.05
toyota corolla 1200,1.16,4,65.0,832.79,74,7.35
chevrolet vega,2.29,4,75.0,1153.03,74,9.41
chevrolet chevelle malibu classic,4.1,6,100.0,1715.03,74,14.7
amc matador,4.23,6,110.0,1647.45,74,14.7
plymouth satellite sebring,3.69,6,105.0,1638.83,74,13.07
ford gran torino,4.95,8,140.0,1878.32,74,14.7
buick century luxus (sw),5.74,8,150.0,2131.43,74,18.09
dodge coronet custom (sw),5.21,8,150.0,2021.66,74,16.8
ford gran torino (sw),4.95,8,140.0,2103.76,74,16.8
amc matador (sw),4.98,8,150.0,1930.94,74,16.8
audi fox,1.61,4,83.0,1006.52,74,8.11
volkswagen dasher,1.29,4,67.0,890.4,74,9.05
opel manta,1.59,4,78.0,1043.26,74,9.05
toyota corona,1.25,4,52.0,747.97,74,7.59
datsun 710,1.36,4,61.0,908.54,74,7.35
dodge colt,1.47,4,75.0,963.88,74,8.4
fiat 128,1.47,4,75.0,956.17,74,9.8
fiat 124 tc,1.9,4,75.0,1018.77,74,9.05
honda civic,1.97,4,97.0,1128.99,74,9.8
subaru,1.77,4,93.0,1084.54,74,9.05
fiat x1.9,1.29,4,67.0,907.18,74,7.59
plymouth valiant custom,3.69,6,95.0,1480.52,75,12.38
chevrolet nova,4.1,6,105.0,1568.97,75,13.07
mercury monarch,4.1,6,72.0,1556.73,75,15.68
ford maverick,4.1,6,72.0,1432.44,75,15.68
pontiac catalina,6.55,8,170.0,2117.37,75,14.7
chevrolet bel air,5.74,8,145.0,2013.95,75,15.68
plymouth grand fury,5.21,8,150.0,2040.26,75,14.7
ford ltd,5.75,8,148.0,2112.38,75,16.8
buick century,3.79,6,110.0,1772.18,75,13.84
chevroelt chevelle malibu,4.1,6,105.0,1767.65,75,14.7
amc matador,4.23,6,110.0,1691.9,75,15.68
plymouth fury,3.69,6,95.0,1716.85,75,13.07
buick skyhawk,3.79,6,110.0,1378.47,75,11.2
chevrolet monza 2+2,4.29,8,110.0,1461.02,75,11.76
ford mustang ii,4.95,8,129.0,1437.43,75,18.09
toyota corolla,1.59,4,75.0,984.75,75,8.11
ford pinto,2.29,4,83.0,1197.03,75,10.23
amc gremlin,3.8,6,100.0,1321.77,75,11.76
pontiac astro,2.29,4,78.0,1175.71,75,10.23
toyota corona,2.2,4,96.0,1225.61,75,9.8
volkswagen dasher,1.47,4,71.0,1008.34,75,9.41
datsun 710,1.95,4,97.0,1154.39,75,9.8
ford pinto,2.8,6,97.0,1353.52,75,13.07
volkswagen rabbit,1.47,4,70.0,878.61,75,8.11
amc pacer,3.8,6,90.0,1456.48,75,12.38
audi 100ls,1.88,4,95.0,1221.98,75,10.23
peugeot 504,1.97,4,88.0,1341.27,75,10.23
volvo 244dl,1.98,4,98.0,1335.83,75,10.69
saab 99le,1.98,4,115.0,1211.54,75,9.41
honda civic cvcc,1.49,4,53.0,814.2,75,7.13
fiat 131,1.75,4,86.0,1117.65,76,8.4
opel 1900,1.9,4,81.0,1006.97,76,9.41
capri ii,2.29,4,92.0,1166.64,76,9.41
dodge colt,1.61,4,79.0,1022.85,76,9.05
renault 12tl,1.66,4,83.0,998.81,76,8.71
chevrolet chevelle malibu classic,5.0,8,140.0,1911.89,76,13.44
dodge coronet brougham,5.21,8,150.0,1900.55,76,14.7
amc matador,4.98,8,120.0,1797.13,76,15.18
ford gran torino,5.75,8,152.0,1911.89,76,16.22
plymouth valiant,3.69,6,100.0,1466.46,76,10.69
chevrolet nova,4.1,6,105.0,1520.89,76,10.69
ford maverick,3.28,6,81.0,1366.22,76,9.8
amc hornet,3.8,6,90.0,1399.33,76,10.45
chevrolet chevette,1.39,4,52.0,923.06,76,8.11
chevrolet woody,1.61,4,60.0,981.57,76,9.6
vw rabbit,1.47,4,70.0,878.61,76,8.11
honda civic,1.49,4,53.0,814.2,76,7.13
dodge aspen se,3.69,6,100.0,1656.06,76,11.76
ford granada ghia,4.1,6,78.0,1621.14,76,13.07
pontiac ventura sj,4.1,6,110.0,1653.34,76,12.71
amc pacer d/l,4.23,6,95.0,1448.32,76,13.44
volkswagen rabbit,1.59,4,71.0,827.81,76,7.97
datsun b-210,1.39,4,70.0,902.65,76,7.35
toyota corolla,1.59,4,75.0,977.49,76,8.4
ford pinto,2.29,4,72.0,1163.46,76,8.88
volvo 245,2.13,4,102.0,1428.81,76,11.76
plymouth volare premier v8,5.21,8,150.0,1787.15,76,18.09
peugeot 504,1.97,4,88.0,1483.25,76,12.38
toyota mark ii,2.56,6,108.0,1329.02,76,12.38
mercedes-benz 280s,2.75,6,120.0,1732.72,76,14.26
cadillac seville,5.74,8,180.0,1986.73,76,14.26
chevy c10,5.74,8,145.0,1839.32,76,18.09
ford f108,4.95,8,130.0,1755.4,76,18.09
dodge d100,5.21,8,150.0,1703.24,76,18.09
honda accord cvcc,1.61,4,68.0,927.6,77,7.47
buick opel isuzu deluxe,1.82,4,80.0,977.49,77,7.84
renault 5 gtl,1.29,4,58.0,827.81,77,6.53
plymouth arrow gs,2.0,4,96.0,1043.26,77,9.22
datsun f-10 hatchback,1.39,4,70.0,882.24,77,7.02
chevrolet caprice classic,5.0,8,145.0,1759.94,77,13.44
oldsmobile cutlass supreme,4.26,8,110.0,1841.58,77,13.84
dodge monaco brougham,5.21,8,145.0,1877.87,77,15.18
mercury cougar brougham,4.95,8,130.0,1948.18,77,15.68
chevrolet concours,4.1,6,110.0,1596.64,77,13.44
buick skylark,3.79,6,105.0,1553.55,77,11.47
plymouth volare custom,3.69,6,100.0,1646.54,77,12.38
ford granada,4.1,6,98.0,1598.91,77,12.71
pontiac grand prix lj,6.55,8,180.0,1914.16,77,14.7
chevrolet monte carlo landau,5.74,8,170.0,1889.21,77,15.18
chrysler cordoba,6.55,8,190.0,1961.79,77,15.18
ford thunderbird,5.75,8,149.0,1966.32,77,14.7
volkswagen rabbit custom,1.59,4,78.0,879.97,77,8.11
pontiac sunbird coupe,2.47,4,88.0,1242.84,77,9.6
toyota corolla liftback,1.59,4,75.0,1027.39,77,9.05
ford mustang ii 2+2,2.29,4,89.0,1249.65,77,9.22
chevrolet chevette,1.61,4,63.0,930.32,77,7.71
dodge colt m/m,1.61,4,83.0,941.2,77,7.02
subaru dl,1.59,4,67.0,900.38,77,7.84
volkswagen dasher,1.59,4,78.0,993.37,77,7.71
datsun 810,2.39,6,97.0,1276.86,77,10.69
bmw 320i,1.98,4,110.0,1179.34,77,10.94
mazda rx-4,1.31,3,110.0,1233.77,77,10.94
volkswagen rabbit custom diesel,1.47,4,48.0,900.38,78,5.46
ford fiesta,1.61,4,66.0,816.47,78,6.52
mazda glc deluxe,1.28,4,52.0,900.38,78,7.17
datsun b210 gx,1.39,4,70.0,938.94,78,5.97
honda civic cvcc,1.49,4,60.0,816.47,78,6.52
oldsmobile cutlass salon brougham,4.26,8,110.0,1526.34,78,11.82
dodge diplomat,5.21,8,140.0,1694.17,78,12.12
mercury monarch ghia,4.95,8,139.0,1619.32,78,11.64
pontiac phoenix lj,3.79,6,105.0,1603.45,78,12.25
chevrolet malibu,3.28,6,95.0,1431.08,78,11.47
ford fairmont (auto),3.28,6,85.0,1344.9,78,11.64
ford fairmont (man),2.29,4,88.0,1233.77,78,9.37
plymouth volare,3.69,6,100.0,1555.82,78,11.47
amc concord,3.8,6,90.0,1456.03,78,12.12
buick century special,3.79,6,105.0,1533.14,78,11.42
mercury zephyr,3.28,6,85.0,1392.53,78,11.31
dodge aspen,3.69,6,110.0,1642.0,78,12.65
amc concord d/l,4.23,6,120.0,1546.75,78,13.0
chevrolet monte carlo landau,5.0,8,145.0,1553.55,78,12.25
buick regal sport coupe (turbo),3.79,6,165.0,1562.62,78,13.29
ford futura,4.95,8,139.0,1453.76,78,13.0
dodge magnum xe,5.21,8,140.0,1850.66,78,13.44
chevrolet chevette,1.61,4,68.0,977.49,78,7.84
toyota corona,2.2,4,95.0,1161.2,78,8.55
datsun 510,1.95,4,97.0,1043.26,78,8.65
dodge omni,1.72,4,75.0,1011.51,78,7.61
toyota celica gt liftback,2.2,4,95.0,1140.78,78,11.15
plymouth sapporo,2.56,4,105.0,1245.11,78,10.14
oldsmobile starfire sx,2.47,4,85.0,1295.01,78,9.88
datsun 200-sx,1.95,4,97.0,1090.89,78,9.84
audi 5000,2.15,5,103.0,1283.67,78,11.59
volvo 264gl,2.67,6,125.0,1424.28,78,13.84
saab 99gle,1.98,4,115.0,1267.79,78,10.89
peugeot 604sl,2.67,6,133.0,1546.75,78,14.52
volkswagen scirocco,1.46,4,71.0,902.65,78,7.47
honda accord lx,1.61,4,68.0,968.42,78,7.97
pontiac lemans v6,3.79,6,115.0,1471.91,79,10.94
mercury zephyr 6,3.28,6,85.0,1356.24,79,11.88
ford fairmont 4,2.29,4,88.0,1310.88,79,10.55
amc concord dl 6,3.8,6,90.0,1480.98,79,11.64
dodge aspen 6,3.69,6,110.0,1524.07,79,11.42
chevrolet caprice classic,5.0,8,130.0,1741.79,79,13.84
ford ltd landau,4.95,8,129.0,1689.63,79,13.36
mercury grand marquis,5.75,8,138.0,1793.96,79,14.26
dodge st. regis,5.21,8,135.0,1737.26,79,12.92
buick estate wagon (sw),5.74,8,155.0,1977.66,79,13.92
ford country squire (sw),5.75,8,142.0,1838.86,79,15.18
chevrolet malibu classic (sw),4.38,8,125.0,1635.2,79,12.25
chrysler lebaron town @ country (sw),5.9,8,150.0,1787.15,79,12.71
vw rabbit custom,1.46,4,71.0,873.16,79,7.37
maxda glc deluxe,1.41,4,65.0,895.84,79,6.9
dodge colt hatchback custom,1.61,4,80.0,868.63,79,6.59
amc spirit dl,1.98,4,80.0,1211.09,79,8.58
mercedes benz 300d,3.0,5,77.0,1601.18,79,9.26
cadillac eldorado,5.74,8,125.0,1769.01,79,10.23
peugeot 504,2.31,4,71.0,1446.96,79,8.65
oldsmobile cutlass salon brougham,4.26,8,90.0,1551.28,79,9.84
plymouth horizon,1.72,4,70.0,997.9,79,6.88
plymouth horizon tc3,1.72,4,70.0,975.22,79,6.82
datsun 210,1.39,4,65.0,916.26,79,7.4
fiat strada custom,1.49,4,69.0,966.15,79,6.31
buick skylark limited,2.47,4,90.0,1211.09,79,8.28
chevrolet citation,2.83,6,115.0,1177.07,79,8.17
oldsmobile omega brougham,2.83,6,115.0,1224.7,79,8.78
pontiac phoenix,2.47,4,90.0,1159.38,79,7.02
vw rabbit,1.61,4,76.0,972.5,80,5.67
toyota corolla tercel,1.46,4,60.0,892.67,80,6.17
chevrolet chevette,1.61,4,70.0,961.62,80,7.33
datsun 310,1.41,4,65.0,915.8,80,6.32
chevrolet citation,2.47,4,90.0,1214.72,80,8.4
ford fairmont,2.29,4,88.0,1301.81,80,8.91
amc concord,2.47,4,90.0,1362.14,80,9.68
dodge aspen,3.69,6,90.0,1533.59,80,12.31
audi 4000,1.59,4,78.0,992.46,80,6.86
toyota corona liftback,2.2,4,90.0,1229.69,80,7.89
mazda 626,1.97,4,75.0,1153.03,80,7.51
datsun 510 hatchback,1.95,4,92.0,1104.04,80,6.36
toyota corolla,1.77,4,75.0,1027.39,80,7.3
mazda glc,1.41,4,65.0,957.08,80,5.05
dodge colt,2.56,4,105.0,1270.06,80,8.43
datsun 210,1.39,4,65.0,957.08,80,5.77
vw rabbit c (diesel),1.47,4,48.0,945.74,80,5.31
vw dasher (diesel),1.47,4,48.0,1059.14,80,5.42
audi 5000s (diesel),1.98,5,67.0,1338.1,80,6.46
mercedes-benz 240d,2.39,4,67.0,1474.17,80,7.84
honda civic 1500 gl,1.49,4,67.0,839.15,80,5.27
subaru dl,1.59,4,67.0,972.95,80,6.96
vokswagen rabbit,1.46,4,62.0,836.88,80,7.89
datsun 280-zx,2.75,6,132.0,1319.95,80,7.19
mazda rx-7 gs,1.15,3,100.0,1097.69,80,9.92
triumph tr7 coupe,2.0,4,88.0,1133.98,80,6.72
honda accord,1.75,4,72.0,1038.73,80,7.26
plymouth reliant,2.21,4,84.0,1129.44,81,8.65
buick skylark,2.47,4,84.0,1195.21,81,8.84
dodge aries wagon (sw),2.56,4,92.0,1188.41,81,9.12
chevrolet citation,2.83,6,110.0,1236.04,81,10.01
plymouth reliant,2.21,4,84.0,1081.82,81,7.84
toyota starlet,1.29,4,58.0,796.05,81,6.02
plymouth champ,1.41,4,64.0,850.48,81,6.03
honda civic 1300,1.33,4,60.0,798.32,81,6.7
subaru,1.59,4,67.0,936.67,81,7.28
datsun 210 mpg,1.39,4,65.0,895.84,81,6.36
toyota tercel,1.46,4,62.0,929.86,81,6.24
mazda glc 4,1.49,4,68.0,900.38,81,6.9
plymouth horizon 4,1.72,4,63.0,1004.71,81,6.78
ford escort 4w,1.61,4,65.0,927.6,81,6.84
ford escort 2h,1.61,4,65.0,1079.55,81,7.87
volkswagen jetta,1.72,4,74.0,993.37,81,7.13
honda prelude,1.75,4,75.0,1002.44,81,6.98
toyota corolla,1.77,4,75.0,1065.94,81,7.26
datsun 200sx,1.95,4,100.0,1186.14,81,7.15
mazda 626,1.97,4,74.0,1195.21,81,7.44
peugeot 505s turbo diesel,2.31,4,80.0,1465.1,81,8.37
volvo diesel,2.38,6,76.0,1433.35,81,7.66
toyota cressida,2.75,6,116.0,1315.42,81,9.26
datsun 810 maxima,2.39,6,120.0,1329.02,81,9.72
buick century,3.79,6,110.0,1549.02,81,10.5
oldsmobile cutlass ls,5.74,8,105.0,1689.63,81,8.84
ford granada gl,3.28,6,88.0,1387.99,81,11.64
chrysler lebaron salon,3.69,6,85.0,1571.7,81,13.36
chevrolet cavalier,1.84,4,88.0,1181.61,82,8.4
chevrolet cavalier wagon,1.84,4,88.0,1197.48,82,8.71
chevrolet cavalier 2-door,1.84,4,88.0,1086.35,82,6.92
pontiac j2000 se hatchback,1.84,4,85.0,1168.0,82,7.59
dodge aries se,2.21,4,84.0,1145.32,82,8.11
pontiac phoenix,2.47,4,90.0,1240.57,82,8.71
ford fairmont futura,2.29,4,92.0,1299.54,82,9.8
volkswagen rabbit l,1.72,4,74.0,898.11,82,6.53
mazda glc custom l,1.49,4,68.0,918.52,82,6.36
mazda glc custom,1.49,4,68.0,893.58,82,7.59
plymouth horizon miser,1.72,4,63.0,963.88,82,6.19
mercury lynx l,1.61,4,70.0,963.88,82,6.53
nissan stanza xe,1.97,4,88.0,979.76,82,6.53
honda accord,1.75,4,75.0,1000.17,82,6.53
toyota corolla,1.77,4,70.0,1018.31,82,6.92
honda civic,1.49,4,67.0,891.31,82,6.19
honda civic (auto),1.49,4,67.0,891.31,82,7.35
datsun 310 gx,1.49,4,67.0,904.92,82,6.19
buick century limited,2.97,6,110.0,1335.83,82,9.41
oldsmobile cutlass ciera (diesel),4.29,6,85.0,1367.58,82,6.19
chrysler lebaron medallion,2.56,4,92.0,1172.54,82,9.05
ford granada l,3.8,6,112.0,1285.93,82,10.69
toyota celica gt,2.36,4,96.0,1208.82,82,7.35
dodge charger 2.2,2.21,4,84.0,1075.01,82,6.53
chevrolet camaro,2.47,4,90.0,1338.1,82,8.71
ford mustang gl,2.29,4,86.0,1265.52,82,8.71
vw pickup,1.59,4,52.0,966.15,82,5.35
dodge rampage,2.21,4,84.0,1040.99,82,7.35
ford ranger,1.97,4,79.0,1190.68,82,8.4
chevy s-10,1.95,4,82.0,1233.77,82,7.59
